Decade,Avg_Anomaly
1900,-0.5934138888888887
1910,-0.6127388888888887
1920,-0.40428888888888864
1930,-0.1704055555555555
1940,-0.18773055555555532
1950,0.0012777777777778997
1960,0.021952777777778088
1970,0.09028611111111126
1980,0.0042027777777779
1990,0.6690194444444446
2000,0.7484361111111112
2010,0.8610361111111112
2020,1.2587527777777776
