Year,Anomaly,Temperature,Decade,MA_5,MA_10
1900,-0.6146638888888886,11.560333333333332,1900,,
1901,-0.8094138888888889,11.365583333333333,1900,,
1902,-0.34649722222222196,11.8285,1900,-0.562147222222222,
1903,-0.4193305555555555,11.755666666666668,1900,-0.5009305555555554,
1904,-0.6208305555555553,11.554166666666667,1900,-0.5161305555555554,
1905,-0.30858055555555514,11.866416666666666,1900,-0.5409472222222219,-0.5934138888888887
1906,-0.8854138888888888,11.289583333333333,1900,-0.6200305555555552,-0.632522222222222
1907,-0.4705805555555553,11.704416666666667,1900,-0.6246805555555552,-0.6104138888888887
1908,-0.8147472222222216,11.36025,1900,-0.7641138888888886,-0.6621138888888887
1909,-0.6440805555555554,11.530916666666668,1900,-0.704697222222222,-0.7359555555555554
1910,-1.0057472222222221,11.16925,1910,-0.7832805555555554,-0.6297222222222221
1911,-0.5883305555555555,11.586666666666666,1910,-0.8518805555555555,-0.6271972222222221
1912,-0.863497222222222,11.3115,1910,-0.6347638888888889,-0.560672222222222
1913,-1.1577472222222223,11.017249999999999,1910,-0.49028055555555544,-0.6447388888888888
1914,0.44150277777777786,12.6165,1910,-0.41664722222222217,-0.6444638888888888
1915,-0.28333055555555536,11.891666666666666,1910,-0.5061972222222221,-0.6127388888888887
1916,-0.2201638888888889,11.954833333333333,1910,-0.43704722222222203,-0.5120805555555554
1917,-1.3112472222222218,10.863750000000001,1910,-0.5907138888888888,-0.5078388888888887
1918,-0.8119972222222219,11.363,1910,-0.5338805555555555,-0.43608055555555547
1919,-0.32683055555555557,11.848166666666666,1910,-0.5990305555555555,-0.386897222222222
1920,0.0008361111111111716,12.175833333333332,1920,-0.36596388888888876,-0.4811555555555554
1921,-0.5459138888888888,11.629083333333334,1920,-0.336747222222222,-0.5190555555555554
1922,-0.1459138888888886,12.029083333333332,1920,-0.371597222222222,-0.571972222222222
1923,-0.6659138888888884,11.509083333333335,1920,-0.5042305555555553,-0.4767472222222221
1924,-0.5010805555555554,11.673916666666665,1920,-0.5449138888888886,-0.42699722222222203
1925,-0.6623305555555553,11.512666666666666,1920,-0.5875305555555553,-0.40428888888888875
1926,-0.7493305555555554,11.425666666666666,1920,-0.517247222222222,-0.3828555555555554
1927,-0.35899722222222225,11.816,1920,-0.43698055555555537,-0.38208888888888864
1928,-0.3144972222222218,11.8605,1920,-0.26148055555555544,-0.3754638888888887
1929,-0.09974722222222214,12.075249999999999,1920,-0.2192638888888887,-0.3462222222222221
1930,0.21516944444444433,12.390166666666666,1930,-0.16339722222222205,-0.3619472222222221
1931,-0.5382472222222217,11.63675,1930,-0.17519722222222212,-0.27398055555555534
1932,-0.07966388888888896,12.095333333333334,1930,-0.28691388888888875,-0.302522222222222
1933,-0.37349722222222215,11.801499999999999,1930,-0.28648055555555535,-0.23912222222222201
1934,-0.6583305555555551,11.516666666666666,1930,-0.38578055555555546,-0.22011388888888878
1935,0.21733611111111115,12.392333333333333,1930,-0.31484722222222206,-0.17040555555555548
1936,-1.034747222222222,11.14025,1930,-0.2650305555555555,-0.21441388888888877
1937,0.275002777777778,12.450000000000001,1930,-0.05389722222222228,-0.17172222222222208
1938,-0.12441388888888931,12.050583333333334,1930,-0.14234722222222215,-0.16716388888888875
1939,0.39733611111111095,12.572333333333333,1930,0.042336111111111255,-0.12003055555555542
1940,-0.2249138888888883,11.950083333333334,1940,-0.019480555555555463,-0.07098888888888878
1941,-0.11133055555555499,12.063666666666668,1940,0.024969444444444634,-0.16661388888888878
1942,-0.03408055555555559,12.140916666666667,1940,-0.0880805555555553,-0.045280555555555435
1943,0.0978361111111112,12.272833333333333,1940,-0.19088055555555541,-0.20726388888888878
1944,-0.1679138888888887,12.007083333333334,1940,-0.1328972222222221,-0.15455555555555536
1945,-0.7389138888888889,11.436083333333334,1940,-0.3950472222222221,-0.18773055555555532
1946,0.17858611111111142,12.353583333333333,1940,-0.3340805555555554,-0.13417222222222203
